t,x0,x1,x2,x3,x4,x5,x6,x7
1.146157264709472656e+01,5.126771703362464905e-02,-1.397153083235025406e-02,2.169156796298921108e-04,-1.630084734642878175e-04,1.425772309303283691e-01,-2.539392933249473572e-02,8.037783205509185791e-02,-1.867436058819293976e-02
1.146257305145263672e+01,5.125374719500541687e-02,-1.396772358566522598e-02,2.167526690755039454e-04,-1.628866448299959302e-04,1.425518393516540527e-01,-2.538940124213695526e-02,8.035916090011596680e-02,-1.867002062499523163e-02
1.146357345581054688e+01,5.123978108167648315e-02,-1.396391727030277252e-02,2.165897894883528352e-04,-1.627649035071954131e-04,1.425264477729797363e-01,-2.538487315177917480e-02,8.034048974514007568e-02,-1.866568252444267273e-02
1.146457290649414062e+01,5.122581869363784790e-02,-1.396011188626289368e-02,2.164270263165235519e-04,-1.626432494958862662e-04,1.425010561943054199e-01,-2.538034692406654358e-02,8.032182604074478149e-02,-1.866134442389011383e-02
1.146557331085205078e+01,5.121186003088951111e-02,-1.395630836486816406e-02,2.162643795600160956e-04,-1.625216827960684896e-04,1.424756795167922974e-01,-2.537582069635391235e-02,8.030316233634948730e-02,-1.865700818598270416e-02
1.146657371520996094e+01,5.119790509343147278e-02,-1.395250577479600906e-02,2.161018637707456946e-04,-1.624002179596573114e-04,1.424503028392791748e-01,-2.537129446864128113e-02,8.028450608253479004e-02,-1.865267194807529449e-02
1.146757316589355469e+01,5.118395388126373291e-02,-1.394870411604642868e-02,2.159394643967971206e-04,-1.622788404347375035e-04,1.424249261617660522e-01,-2.536677010357379913e-02,8.026584982872009277e-02,-1.864833757281303406e-02
1.146857357025146484e+01,5.117000639438629150e-02,-1.394490338861942291e-02,2.157771814381703734e-04,-1.621575502213090658e-04,1.423995643854141235e-01,-2.536224573850631714e-02,8.024720102548599243e-02,-1.864400319755077362e-02
1.146957302093505859e+01,5.115606263279914856e-02,-1.394110359251499176e-02,2.156150294467806816e-04,-1.620363473193719983e-04,1.423742026090621948e-01,-2.535772323608398438e-02,8.022855967283248901e-02,-1.863967068493366241e-02
1.147057342529296875e+01,5.114212259650230408e-02,-1.393730472773313522e-02,2.154529938707128167e-04,-1.619152317289263010e-04,1.423488408327102661e-01,-2.535320073366165161e-02,8.020991832017898560e-02,-1.863534003496170044e-02
1.147157382965087891e+01,5.112818628549575806e-02,-1.393350679427385330e-02,2.152910747099667788e-04,-1.617942180018872023e-04,1.423234939575195312e-01,-2.534868009388446808e-02,8.019128441810607910e-02,-1.863100938498973846e-02
